"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
7	6223	28	0.00634428431376783	2938
9	6223	36	0.00518019863050005	2150
4	6311	69	0.0026039685156534	924
5	6311	113	0.00167564576984472	739
6	6311	141	0.0011275023851012	572
7	6311	116	0.00159362893926503	738
11	6311	80	0.00265931139433137	699
5	7101	97	0.00201122841387317	887
6	7101	128	0.00151187819820388	767
8	7101	34	0.00532524802059398	2350
10	7101	40	0.00499889442144654	1786
11	7101	136	0.000448925242533765	118
8	7112	78	0.00228419149138669	1008
9	7112	73	0.00242866986955537	1008
4	7121	6	0.0221450049740308	7858
5	7121	7	0.0168811674648092	7445
6	7121	2	0.0259207279092321	13150
7	7121	4	0.0222892112616445	10322
8	7121	9	0.0126129065883515	5566
9	7121	4	0.0287946762014447	11951
10	7121	7	0.0180447213522205	6447
11	7121	4	0.0303100627734449	7967
12	7121	4	0.022755807397651	4803
13	7121	8	0.0162257578060157	5552
7	7122	140	0.000958768630126929	444
4	7123	86	0.00158661717999228	563
5	7123	158	0.000872968364533449	385
6	7123	127	0.00152370514629935	773
4	7131	121	0.000994806153707414	353
8	7131	73	0.00246321046739815	1087
9	7131	87	0.00200943518969165	834
5	7132	137	0.00100674793208533	444
10	7132	106	0.00130990066586617	468
11	7132	96	0.00178809206771923	470
13	7132	87	0.00132681809148615	454
4	7133	83	0.00195297638674005	693
5	7133	35	0.00581147511246554	2563
6	7133	140	0.00116889670343533	593
7	7133	144	0.000926377798028046	429
8	7133	53	0.00340815873318015	1504
10	7133	126	0.00111397535259559	398
11	7133	8	0.0144416967852387	3796
13	7133	95	0.00121868533953684	417
5	7134	83	0.00233093890581918	1028
6	7134	39	0.00523736684827603	2657
7	7134	76	0.00310736049268615	1439
9	7134	115	0.0010673618573542	443
10	7134	63	0.00286890637289065	1025
11	7134	94	0.00181852767738254	478
12	7134	59	0.00408874907020046	863
13	7134	69	0.00251627836292859	861
5	7135	20	0.0087070091423596	3840
6	7135	20	0.00844444094016353	4284
